#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
625991823541,625996892887,625996982004,626015210916,0,613
625991823541,625996892887,625997987312,626015210916,1,613
626024969270,626030068258,626030153598,626048559943,0,616
626024969270,626030068258,626030942840,626048559943,1,616
626058609893,626063406033,626063496433,626081886087,0,619
626058609893,626063406033,626064248946,626081886087,1,619
626091755920,626096638401,626096708423,626115064884,0,622
626091755920,626096638401,626097418075,626115064884,1,622
626124896947,626129906937,626129990534,626148403401,0,625
626124896947,626129906937,626130650122,626148403401,1,625
626158531573,626163287944,626163383904,626181698917,0,628
626158531573,626163287944,626164208211,626181698917,1,628
626191672306,626196495405,626196561168,626222461452,0,631
626191672306,626196495405,626197346643,626222461452,1,631
626224815134,626229806681,626229893253,626255823172,0,634
626224815134,626229806681,626230636338,626255823172,1,634
626257966015,626263181546,626263278889,626292838121,0,637
626257966015,626263181546,626263929901,626292838121,1,637
626291622391,626296429453,626296502170,626326076550,0,640
626291622391,626296429453,626297318522,626326076550,1,640
626324775423,626329725290,626329822633,626348275365,0,643
626324775423,626329725290,626330635940,626348275365,1,643
626357906360,626362937320,626363011639,626381586691,0,646
626357906360,626362937320,626363779962,626381586691,1,646
626391559433,626396477936,626396609684,626415023372,0,649
626391559433,626396477936,626397346056,626415023372,1,649
626424705589,626429535867,626429628400,626448410601,0,652
626424705589,626429535867,626430440385,626448410601,1,652
626457845833,626462958762,626463049282,626481668576,0,655
626457845833,626462958762,626463969750,626481668576,1,655
626490984382,626496114316,626496277582,626515129874,0,658
626490984382,626496114316,626497046546,626515129874,1,658
626524616016,626529388041,626529460938,626548430570,0,661
626524616016,626529388041,626530190618,626548430570,1,661
626557754653,626562799084,626562940680,626589158139,0,664
626557754653,626562799084,626563566024,626589158139,1,664
626590901353,626596126511,626596235375,626622458334,0,667
626590901353,626596126511,626597212019,626622458334,1,667
626624554304,626629490766,626629591445,626648011636,0,670
626624554304,626629490766,626630435179,626648011636,1,670
626657695867,626662700872,626662826578,626689172157,0,673
626657695867,626662700872,626663502898,626689172157,1,673
626690835286,626695897844,626696022017,626714490358,0,676
626690835286,626695897844,626696900346,626714490358,1,676
626723982364,626729127426,626729193781,626747911991,0,679
626723982364,626729127426,626729981429,626747911991,1,679
626757622445,626762423383,626762483356,626781543007,0,682
626757622445,626762423383,626763241459,626781543007,1,682
626790758122,626795975091,626796089065,626814842120,0,685
626790758122,626795975091,626796838542,626814842120,1,685
626823906756,626829019135,626829092412,626848285765,0,688
626823906756,626829019135,626829802996,626848285765,1,688
626857543418,626862279856,626862378321,626881591259,0,691
626857543418,626862279856,626863043890,626881591259,1,691
626890701141,626895782271,626895917985,626914998055,0,694
626890701141,626895782271,626896785915,626914998055,1,694
626923864897,626929241605,626929599336,626955791547,0,697
626923864897,626929241605,626930314459,626955791547,1,697
626957508778,626962214385,626962284747,626981546447,0,700
626957508778,626962214385,626963012533,626981546447,1,700
626990634898,626995588379,626995682115,627014918057,0,703
626990634898,626995588379,626996312959,627014918057,1,703
627023797079,627028882182,627028965328,627048254260,0,706
627023797079,627028882182,627029956649,627048254260,1,706
627056928575,627062257859,627062364940,627081519238,0,709
627056928575,627062257859,627063214525,627081519238,1,709
627090557745,627095368608,627095486139,627114879777,0,712
627090557745,627095368608,627096227952,627114879777,1,712
627123700129,627128631734,627128782697,627148154094,0,715
627123700129,627128631734,627129453687,627148154094,1,715
627156854620,627162028280,627162111997,627181498231,0,718
627156854620,627162028280,627162731881,627181498231,1,718
627190498366,627195161441,627195260397,627214866153,0,721
627190498366,627195161441,627196058956,627214866153,1,721
627223647236,627228515818,627228602541,627248059889,0,724
627223647236,627228515818,627229389358,627248059889,1,724
627256797374,627261733028,627261813579,627281598842,0,727
627256797374,627261733028,627262421981,627281598842,1,727
627289932828,627295139642,627295233939,627314905299,0,730
627289932828,627295139642,627295838164,627314905299,1,730
627323590442,627328692292,627328802989,627348288119,0,733
627323590442,627328692292,627329588614,627348288119,1,733
627356737722,627361705047,627361782463,627381709762,0,736
627356737722,627361705047,627362396756,627381709762,1,736
627389872733,627394883804,627395061909,627415100197,0,739
627389872733,627394883804,627395830822,627415100197,1,739
627423502118,627428418740,627428533125,627448397056,0,742
627423502118,627428418740,627429178206,627448397056,1,742
627456649221,627461459448,627461567581,627481843305,0,745
627456649221,627461459448,627462197724,627481843305,1,745
627489787992,627494838852,627494962684,627511328178,0,748
627489787992,627494838852,627495739843,627511328178,1,748
627522936801,627528024412,627528125281,627548411665,0,751
627522936801,627528024412,627528736579,627548411665,1,751
627556583012,627561377226,627561466363,627578045267,0,754
627556583012,627561377226,627562090154,627578045267,1,754
627589733718,627594564589,627594661090,627615134325,0,757
627589733718,627594564589,627595316711,627615134325,1,757
627622883682,627627905290,627628062886,627648365030,0,760
627622883682,627627905290,627628698540,627648365030,1,760
627656526724,627661216667,627661292339,627681656408,0,763
627656526724,627661216667,627661902444,627681656408,1,763
627689661751,627694485002,627694588646,627711309006,0,766
627689661751,627694485002,627695209271,627711309006,1,766
627722803892,627727889763,627728009218,627748303096,0,769
627722803892,627727889763,627728674136,627748303096,1,769
627755945419,627761044976,627761108055,627781550011,0,772
627755945419,627761044976,627761724582,627781550011,1,772
627789586324,627794361041,627794467251,627811310751,0,775
627789586324,627794361041,627795115968,627811310751,1,775
627822746707,627827678759,627827779288,627848304701,0,778
627822746707,627827678759,627828419650,627848304701,1,778
627855899663,627861548614,627861660835,627881680157,0,781
627855899663,627861548614,627862274917,627881680157,1,781
627889549934,627894248141,627894376472,627914947721,0,784
627889549934,627894248141,627894990345,627914947721,1,784
627922696876,627927593131,627927743323,627948398008,0,787
627922696876,627927593131,627928516264,627948398008,1,787
627955850996,627960871695,627960977734,627981677494,0,790
627955850996,627960871695,627961781633,627981677494,1,790
627988995233,627994328564,627994422230,628015016001,0,793
627988995233,627994328564,627995136651,628015016001,1,793
628022630858,628027827883,628027928612,628044648772,0,796
628022630858,628027827883,628028562753,628044648772,1,796
628055770578,628060644581,628060778883,628081418711,0,799
628055770578,628060644581,628061427380,628081418711,1,799
628088930517,628093985102,628094179677,628114685112,0,802
628088930517,628093985102,628094792527,628114685112,1,802
628122570747,628127659479,628127783382,628148104671,0,805
628122570747,628127659479,628128421029,628148104671,1,805
628155719794,628160739852,628160864446,628177974316,0,808
628155719794,628160739852,628161522140,628177974316,1,808
628188876886,628193961550,628194072568,628214573755,0,811
628188876886,628193961550,628194748086,628214573755,1,811
628222015680,628227151448,628227224545,628247837642,0,814
628222015680,628227151448,628227850079,628247837642,1,814
628255660347,628260507067,628260593930,628278029763,0,817
628255660347,628260507067,628261214665,628278029763,1,817
628288804789,628293695943,628293786253,628314465705,0,820
628288804789,628293695943,628294418800,628314465705,1,820
628321940096,628327110914,628327219598,628344658907,0,823
628321940096,628327110914,628327923479,628344658907,1,823
628355577064,628360426948,628360531304,628377978038,0,826
628355577064,628360426948,628361190001,628377978038,1,826
628388718197,628393577112,628393735740,628414545236,0,829
628388718197,628393577112,628394377074,628414545236,1,829
628421867146,628426922071,628427092371,628444641937,0,832
628421867146,628426922071,628427791233,628444641937,1,832
628455512312,628460172984,628460269695,628477992026,0,835
628455512312,628460172984,628460953579,628477992026,1,835
628488655228,628493844756,628493943993,628511328539,0,838
628488655228,628493844756,628494560711,628511328539,1,838
628521796767,628526777672,628526854186,628544672547,0,841
628521796767,628526777672,628527718528,628544672547,1,841
628554950539,628560076675,628560143310,628577962242,0,844
628554950539,628560076675,628560900982,628577962242,1,844
628588590572,628593362183,628593433346,628611320967,0,847
628588590572,628593362183,628594252564,628611320967,1,847
628621726231,628626666345,628626786561,628647883577,0,850
628621726231,628626666345,628627590200,628647883577,1,850
628654871825,628660048304,628660101764,628681175426,0,853
628654871825,628660048304,628660843947,628681175426,1,853
