#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
7470985383294,7470989663321,7470989843769,7471016185204,1,177
7471018672494,7471021227790,7471023663262,7471050663973,0,178
7471018672494,7471023662080,7471023886441,7471050663973,1,178
7471051969194,7471054300264,7471056406169,7471082403670,0,179
7471051969194,7471056404917,7471056591517,7471082403670,1,179
7471085252094,7471087598331,7471089621231,7471116868312,0,180
7471085252094,7471089620109,7471089802871,7471116868312,1,180
7471118540694,7471137912234,7471148120937,7471191474742,0,181
7471118540694,7471148116189,7471148910667,7471191474742,1,181
7471151831394,7471157763651,7471163205225,7471215161434,0,182
7471151831394,7471163202610,7471163684913,7471215161434,1,182
7471185121394,7471188399060,7471191182484,7471215230453,0,183
7471185121394,7471191180991,7471191562576,7471215230453,1,183
7471218408894,7471220859949,7471222962728,7471250249313,0,184
7471218408894,7471222958720,7471223173733,7471250249313,1,184
7471251699594,7471253836483,7471255722216,7471282928571,0,185
7471251699594,7471255721094,7471255907673,7471282928571,1,185
7471284987594,7471287391501,7471289306328,7471316631987,0,186
7471284987594,7471289304164,7471289515691,7471316631987,1,186
7471318301294,7471320550488,7471322343086,7471350605269,0,187
7471318301294,7471322341352,7471322539604,7471350605269,1,187
7471351566294,7471354364241,7471356297542,7471383184159,0,188
7471351566294,7471356295979,7471356510942,7471383184159,1,188
7471384855594,7471387264041,7471388963746,7471416914325,0,189
7471384855594,7471388962684,7471389165664,7471416914325,1,189
7471418146594,7471420563200,7471422386977,7471449625723,0,190
7471418146594,7471422385855,7471422572715,7471449625723,1,190
7471451435394,7471453722267,7471455548378,7471482826537,0,191
7471451435394,7471455547316,7471455742802,7471482826537,1,191
7471484726894,7471487266485,7471489471896,7471517689556,0,192
7471484726894,7471489470283,7471489655139,7471517689556,1,192
7471518014394,7471520395375,7471522191369,7471549429825,0,193
7471518014394,7471522190267,7471522376706,7471549429825,1,193
7471551305294,7471553722546,7471556238209,7471582535291,0,194
7471551305294,7471556237157,7471556440087,7471582535291,1,194
7471584597694,7471586893094,7471588705088,7471617054806,0,195
7471584597694,7471588704207,7471588896106,7471617054806,1,195
7471617882694,7471620142630,7471621950968,7471649512077,0,196
7471617882694,7471621949395,7471622149980,7471649512077,1,196
7471651170894,7471653494107,7471655304548,7471682769649,0,197
7471651170894,7471655303817,7471655487271,7471682769649,1,197
7471684466794,7471686756176,7471688536512,7471717122361,0,198
7471684466794,7471688535209,7471688730064,7471717122361,1,198
7471717750494,7471720203964,7471722229699,7471750443371,0,199
7471717750494,7471722226012,7471722459399,7471750443371,1,199
7471751038594,7471753567463,7471756145863,7471785156238,0,200
7471751038594,7471756142116,7471756381465,7471785156238,1,200
7471784335794,7471786937395,7471789033842,7471817733144,0,201
7471784335794,7471789032129,7471789243384,7471817733144,1,201
7471817619394,7471819743811,7471821760719,7471851412485,0,202
7471817619394,7471821759186,7471821983266,7471851412485,1,202
7471850906994,7471853409626,7471855688014,7471885064465,0,203
7471850906994,7471855685850,7471855894171,7471885064465,1,203
7471884197694,7471886769639,7471889095877,7471918283804,0,204
7471884197694,7471889094585,7471889295842,7471918283804,1,204
7471917487594,7471920055293,7471922247550,7471950513730,0,205
7471917487594,7471922246538,7471922467592,7471950513730,1,205
7471950775094,7471953250166,7471955470536,7471985000955,0,206
7471950775094,7471955469534,7471955652827,7471985000955,1,206
7471984065694,7471986258210,7471988274197,7472018165191,0,207
7471984065694,7471988270269,7471988462119,7472018165191,1,207
7472017376094,7472020061643,7472021867426,7472051400009,0,208
7472017376094,7472021866575,7472022075145,7472051400009,1,208
7472050644294,7472052912713,7472057432831,7472084615401,0,209
7472050644294,7472057432039,7472057620713,7472084615401,1,209
7472083934294,7472086037205,7472088072648,7472117840191,0,210
7472083934294,7472088071866,7472088257684,7472117840191,1,210
7472117222094,7472119256234,7472121225673,7472166019975,0,211
7472117222094,7472121224721,7472121409938,7472166019975,1,211
7472150512194,7472163267429,7472171131461,7472216111481,0,212
7472150512194,7472171122885,7472171792249,7472216111481,1,212
7472183814994,7472188595426,7472192179350,7472222419608,0,213
7472183814994,7472192178107,7472192555254,7472222419608,1,213
7472217093394,7472219738005,7472222183165,7472249898424,0,214
7472217093394,7472222181522,7472222515197,7472249898424,1,214
7472250380794,7472252709791,7472254450832,7472283139725,0,215
7472250380794,7472254449770,7472254627583,7472283139725,1,215
7472283669794,7472285983973,7472287748177,7472316309691,0,216
7472283669794,7472287747196,7472287932803,7472316309691,1,216
7472316964994,7472319231264,7472321065260,7472349603570,0,217
7472316964994,7472321064068,7472321240969,7472349603570,1,217
7472350248994,7472352432380,7472354237000,7472382791381,0,218
7472350248994,7472354236239,7472354416306,7472382791381,1,218
7472383538494,7472385820235,7472387593667,7472416156814,0,219
7472383538494,7472387592785,7472387772181,7472416156814,1,219
7472416833794,7472419062667,7472420876565,7472449234267,0,220
7472416833794,7472420872097,7472421073745,7472449234267,1,220
7472450116794,7472452521525,7472454362995,7472484222110,0,221
7472450116794,7472454362143,7472454535879,7472484222110,1,221
7472483405694,7472485781491,7472487650773,7472501498073,0,222
7472483405694,7472487650081,7472487831391,7472501498073,1,222
7472516702294,7472518920119,7472521106895,7472535624661,0,223
7472516702294,7472521106274,7472521335183,7472535624661,1,223
