#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
1075548662458,1075553702739,1075554399147,1075572803309,1,679
1075582315193,1075586950399,1075587021092,1075606209136,0,682
1075582315193,1075586950399,1075587618243,1075606209136,1,682
1075615455820,1075620348060,1075620417370,1075639420818,0,685
1075615455820,1075620348060,1075620936996,1075639420818,1,685
1075648617312,1075653582896,1075653661994,1075672812678,0,688
1075648617312,1075653582896,1075654269335,1075672812678,1,688
1075682256017,1075686895127,1075687006736,1075705953968,0,691
1075682256017,1075686895127,1075687605230,1075705953968,1,691
1075715387953,1075720133890,1075720245810,1075739389911,0,694
1075715387953,1075720133890,1075720847359,1075739389911,1,694
1075748529777,1075753420963,1075753492638,1075772860920,0,697
1075748529777,1075753420963,1075754084038,1075772860920,1,697
1075781665238,1075786736590,1075786820227,1075806233855,0,700
1075781665238,1075786736590,1075787340865,1075806233855,1,700
1075815299429,1075820097252,1075820203932,1075839588826,0,703
1075815299429,1075820097252,1075820811774,1075839588826,1,703
1075848442131,1075853572599,1075853680973,1075873073540,0,706
1075848442131,1075853572599,1075854140796,1075873073540,1,706
1075881594192,1075886576411,1075886724399,1075906209811,0,709
1075881594192,1075886576411,1075887352247,1075906209811,1,709
1075915234903,1075919870628,1075919947222,1075939830391,0,712
1075915234903,1075919870628,1075920534975,1075939830391,1,712
1075948393307,1075953106646,1075953173932,1075969093319,0,715
1075948393307,1075953106646,1075953744243,1075969093319,1,715
1075981541889,1075986453001,1075986568908,1076006536345,0,718
1075981541889,1075986453001,1075987177751,1076006536345,1,718
1076014675720,1076019664833,1076019770812,1076035775219,0,721
1076014675720,1076019664833,1076020240113,1076035775219,1,721
1076048317893,1076053033830,1076053102930,1076069094323,0,724
1076048317893,1076053033830,1076053541914,1076069094323,1,724
1076081458027,1076086303832,1076086378362,1076106363562,0,727
1076081458027,1076086303832,1076086933053,1076106363562,1,727
1076114628541,1076119540982,1076119616604,1076135770431,0,730
1076114628541,1076119540982,1076120222752,1076135770431,1,730
1076148272900,1076152804521,1076152893288,1076169078434,0,733
1076148272900,1076152804521,1076153338564,1076169078434,1,733
1076181424205,1076186240144,1076186303984,1076202416864,0,736
1076181424205,1076186240144,1076186824080,1076202416864,1,736
1076214571098,1076219441096,1076219531245,1076239863767,0,739
1076214571098,1076219441096,1076220014252,1076239863767,1,739
1076247716846,1076252744670,1076252847353,1076269124622,0,742
1076247716846,1076252744670,1076253304070,1076269124622,1,742
1076281373490,1076285985627,1076286045740,1076302440730,0,745
1076281373490,1076285985627,1076286484855,1076302440730,1,745
1076314491946,1076319265487,1076319342111,1076339777677,0,748
1076314491946,1076319265487,1076319803317,1076339777677,1,748
1076347625188,1076353130436,1076353219443,1076369094647,0,751
1076347625188,1076353130436,1076353682542,1076369094647,1,751
1076381268236,1076385940564,1076386115863,1076402428699,0,754
1076381268236,1076385940564,1076386733663,1076402428699,1,754
1076414409934,1076419125776,1076419199575,1076435753473,0,757
1076414409934,1076419125776,1076419650762,1076435753473,1,757
1076447557076,1076452436144,1076452551080,1076473204895,0,760
1076447557076,1076452436144,1076452992047,1076473204895,1,760
1076480732617,1076485798879,1076485878238,1076502432458,0,763
